degisken,karsilastirma,z,p_ham,p_bh
ndvi,Denizcilik - Fen Edebiyat,8.650003883614122,5.1497678214332964e-18,1.8024187375016538e-17
ndvi,Denizcilik - Guzel Sanatlar,12.020121075067552,2.785629915910242e-33,3.8998818822743387e-32
ndvi,Fen Edebiyat - Guzel Sanatlar,5.47682594016647,4.330227818680192e-8,8.660455637360384e-8
ndvi,Denizcilik - Hukuk,9.207190519774763,3.3477216128324497e-20,1.5622700859884767e-19
ndvi,Fen Edebiyat - Hukuk,0.7311070066262984,0.4647137949408776,0.4819254169757249
ndvi,Guzel Sanatlar - Hukuk,-4.938824512578086,7.859490039819495e-7,1.222587339527477e-6
ndvi,Denizcilik - Isletme,5.194298173503847,2.0549356522502286e-7,3.5961373914379e-7
ndvi,Fen Edebiyat - Isletme,-4.2230260062869,2.4104399398540572e-5,3.2139199198054094e-5
ndvi,Guzel Sanatlar - Isletme,-8.809898331018003,1.2525941304567644e-18,5.010376521827058e-18
ndvi,Hukuk - Isletme,-4.941500592022157,7.752358107196417e-7,1.2768589823617628e-6
ndvi,Denizcilik - Mimarlik,4.7502327540192235,2.031826502845294e-6,2.994270635772012e-6
ndvi,Fen Edebiyat - Mimarlik,-5.585641631424263,2.328389385542173e-8,5.0149925227062185e-8
ndvi,Guzel Sanatlar - Mimarlik,-10.43037873029044,1.801687281373094e-25,1.2611810969611657e-24
ndvi,Hukuk - Mimarlik,-6.416112871655517,1.397978149950635e-10,3.55848983623798e-10
ndvi,Isletme - Mimarlik,-0.8642737358303967,0.38743753454015556,0.41724042181247517
ndvi,Denizcilik - Muhendislik,6.253182295663106,4.021722338692551e-10,9.38401879028262e-10
ndvi,Fen Edebiyat - Muhendislik,-5.300820225303007,1.1528356584737104e-7,2.1519598958175928e-7
ndvi,Guzel Sanatlar - Muhendislik,-11.19672937338573,4.2306550552724563e-29,3.9486113849209594e-28
ndvi,Hukuk - Muhendislik,-6.424601377544255,1.3221552372821671e-10,3.7020346643900677e-10
ndvi,Isletme - Muhendislik,0.4782801583573437,0.6324508166384265,0.6324508166384265
ndvi,Mimarlik - Muhendislik,1.6927678012993446,0.09049967381122287,0.10558295277976001
ndvi,Denizcilik - Turizm,4.264888880080872,2.00001714324411e-5,2.8000240005417537e-5
ndvi,Fen Edebiyat - Turizm,-8.276144396096457,1.2722770369064524e-16,3.958195225931185e-16
ndvi,Guzel Sanatlar - Turizm,-13.696207131838294,1.0696773606217355e-42,2.995096609740859e-41
ndvi,Hukuk - Turizm,-9.44703575859559,3.485617224076007e-21,1.951945645482564e-20
ndvi,Isletme - Turizm,-2.2234152644323513,0.026187811350264465,0.031880813817713266
